,No.,Names,Party Name,	Constituency (State),profile Links
0,1,"A. Raja, Shri ",Dravida Munnetra Kazhagam,Nilgiris (SC)(Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=344
1,2,"Abbaiah, Shri Narayana Swamy",Bharatiya Janata Party,Chitradurga (SC)(Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5175
2,3,"Abdullah, Dr. Farooq",Jammu and Kashmir National Conference,Srinagar (Jammu and Kashmir),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=2654
3,4,"Adhikari,Shri Deepak (Dev)",All India Trinamool Congress,Ghatal (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4847
4,5,"Adhikari, Shri Dibyendu",All India Trinamool Congress,Tamluk (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4939
5,6,"Adhikari,Shri Sisir Kumar",All India Trinamool Congress,Kanthi (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4502
6,7,Adv. A. M. Ariff,Communist Party of India (Marxist),Alappuzha (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5121
7,8,"Agrawal,Shri Rajendra",Bharatiya Janata Party,Meerut (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4267
8,9,"Ahluwalia,Shri S.S.",Bharatiya Janata Party,Bardhaman-Durgapur (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4793
9,10,"Ahmed, Smt. Sajda",All India Trinamool Congress,Uluberia (West Bengal),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4944
10,11,"Ajgalley, Shri Guharam",Bharatiya Janata Party,Janjgir-Champa (SC)(Chhattisgarh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4013
11,12,"Ajmal,Maulana Badruddin",All India United Democratic Front,Dhubri (Assam),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4436
12,13,"Ambareesh, Smt. Sumalatha",Independent,Mandya (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5180
13,14,"Angadi, Smt. Mangal Suresh",Bharatiya Janata Party,Belgaum (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5531
14,15,"Annadurai, Shri C.N.",Dravida Munnetra Kazhagam,Tiruvannamalai (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4969
15,16,"Annpurna Devi, Smt.",Bharatiya Janata Party,Kodarma (Jharkhand),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5116
16,17,"Ansari, Shri Afzal",Bahujan Samaj Party,Ghazipur (Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4170
17,18,"Antony,Shri Anto ",Indian National Congress,Pathanamthitta (Kerala),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4571
18,19,"Aujla, Shri Gurjeet Singh",Indian National Congress,Amritsar (Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4940
19,20,"Azad, Smt.Sangeeta",Bahujan Samaj Party,Lalganj (SC)(Uttar Pradesh),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5152
20,21,"B.N. , Shri Bache Gowda",Bharatiya Janata Party,Chikkballapur (Karnataka),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=5173
21,22,"Baalu, Shri Thalikkottai Rajuthevar",Dravida Munnetra Kazhagam,Sriperumbudur (Tamil Nadu),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=26
22,23,"Badal, Smt. Harsimrat Kaur",Shiromani Akali Dal,Bathinda (Punjab),http://loksabhaph.nic.in/Members/MemberBioprofile.aspx?mpsno=4433
