,Name,Designation,Contact,Address,Geo0-Location Link
0,Sh Sitaram Sharan Gupta,"Official Liquidator, Ministry of Corporate Affairs.", 0731-2710051  0731-2710568 ol[dot]indore[at]mca[dot]gov[dot]in,"1st Floor, Old CIABuilding, Opp. GPO Comps Residency Area, Indore - 452001, Madhya Pradesh",https://goo.gl/maps/vUUx772xW4Q4L1Jo6
1,Sh N. Krishnamurthy,"Official Liquidator, Ministry Of Corporate Affairs", 033-22486501/067/35073 ol-kolkata-mca[at]nic[dot]in,"  5th Floor, 9,Old Post OfficeStreet,Kolkata-700001",https://goo.gl/maps/8T8PJxDjufg3qp4x8
2,Sh S. Chandrasekaran,"Official Liquidator, Ministry Of Corporate Affairs", 0484-2422889/8337/3387 0484-2423172 ol-cochin-mca[at]nic[dot]in,"  Company Law Bhawan, 3rd Floor, BMC Road, Thikkakakra(Post), Kochi-682021  Kerala",https://goo.gl/maps/HhAaqsLww8EGAJw99
3,Sh Sanjay Bose,Official Liquidator Ministry Of Corporate Affairs , 0532-2560312/162 ol[dot]allahabad[at]mca[dot]gov[dot]in,"  B9th Floor,Sangam Place,Civil Lines,Allahabad-211001",https://goo.gl/maps/VakY2bSQWzpoFUv36
4,Sh Uttam Sitaram Patole,"ROC-cum-Official Liquidator, Ministry Of Corporate Affairs ", 0141-2981913/14/15/17 0141-2981916 ol[dot]jaipur[at]mca[dot]gov[dot]in,"  Corporate Bhawan,G/6-7,Residency Area,Civil Lines,Jaipur-302001,Rajastan   ",https://goo.gl/maps/yXKYae1Va8MD7CoZA
5,"Sh A.K. Sethi,","ROC cum Official Liquidator, Ministry Of Corporate Affairs", 0671-2362661/3982/2952 ol[dot]cuttack[at]mca[dot]gov[dot]in,"  Corporate Bhawan,Plot No. 9(P),Sector-I, CDA,Cuttack-753014Odisha",https://goo.gl/maps/bD7R46ZqE6UK4GFb8
6,Sh Pola Raghunath,"Official Liquidator, Ministry Of Corporate Affairs", 040-29803086/186 ol-hyderabad-mca[at]nic[dot]in,"  1st Floor,Corporate Bhawan,Tatti Annaram,Via- Nagole GSI (SR),Bandlaguda P.O.Hyderabad-500068,Rangareddy District,Telangana.",https://goo.gl/maps/QShoHw14magBfT8d8
7,Sh M. Jayakumar,"Official Liquidator, Ministry Of Corporate Affaris", 080-25598671 080-25527991 ol-bangalore-mca[at]nic[dot]in,"  Corporate Bhawan,No. 26-27, 12th Floor,Raheja Towers,M. G. Road, Bangalore,Karnataka.",https://goo.gl/maps/aM45QtmHcXLPQNqj8
8,Sh Sudhir Liladhar Phaye,"ROC-cum-Official Liquidator, Ministry Of Corporate Affairs", 0191-2470306/2504 -Jammu 0194-2493739/4995 -Srinagar roc[dot]jammu[at]mca[dot]gov[dot]in,"  Jammu Office:Hall No. 405 to 408,Rail Head Complex,Bahu Plaza,Jammu- 180012ANDSrinagar Office:SDA Office Complex,Ground Floor,Bemina Bypass,Srinagar- 190018.",#
9,Sh. Arya Jayant Pyarelal,"ROC-cum-Official Liquidator, Ministry of Corporate Affairs", 0832-2438618/17 ol-goa-mca[at]gov[dot]in,"  Corporate Bhawan,EDC Complex,Plot No.21,Patto, Panaji,Goa-403001.",https://goo.gl/maps/sD3AaiSe7bnxc2ux8
10,Sh S.P. Kumar,ROC cum Official Liquidator Nainital (functional at Kanpur),-,"  10/499 B,Allenganj,Khanlasi Line,Kanpur -208002,Uttar pradesh",#
11,Sh Brijesh Kumar Kain,"ROC-cum-Official Liquidator, Ministry Of Corporate Affairs", 0135-2745012/13 roc[dot]uttarakhand[at]mca[dot]gov[dot]in,"  Mazanine Floor,78 Rajpur Road,Office No. 259,Shri Radha Palace,Dehradun-248001,Uttarakhand.",#
